""	"ARID2_1"	"ARID2_2"	"ARID2_3"	"ARID2_4"	"Control_1"	"Control_2"	"Control_3"	"Control_4"
"ENSG00000154175"	19,0029361586693	18,4366927625755	43,7229654975425	21,5460679537163	38,1908466542234	34,7427299318455	28,3639376151028	28,8474577361998
"ENSG00000154269"	1,0001545346668	0,801595337503283	0	2,15460679537163	7,92640213578222	10,6900707482601	12,8095202132722	8,24213078177137
"ENSG00000155465"	18353,8358656705	17365,7613916711	17351,8687605013	12847,920320801	16120,140198144	15790,1253344093	15483,9650406576	20237,178446176
"ENSG00000155849"	608,093957077417	490,576346552009	586,161006201429	663,618892974462	1198,3278865278	1256,97415214959	1172,07109951441	1638,81033710887
"ENSG00000156298"	1705,2634816069	1704,99328286948	1618,43289474497	6877,50489082624	5547,04033102287	5259,51480814399	5087,20945612812	7064,87976844169
"ENSG00000156475"	1,0001545346668	0	0	0	7,92640213578222	18,7076238094553	7,31972583615556	4,12106539088568
"ENSG00000156689"	0	2,40478601250985	0,683171335899101	0	5,04407408640687	5,34503537413007	20,1292460494278	15,1105730999142
"ENSG00000158006"	1773,27398996424	1862,10596902013	2086,40525983586	2669,55781946545	1864,86624794585	1779,00594035629	1838,16615060457	3052,33576618266
"ENSG00000159167"	209,032297745362	185,168522963258	216,565313480015	349,046300850204	226,262751875965	211,128897278138	258,020335724484	793,991931977308
"ENSG00000159335"	27121,1905165597	25199,7526250907	22400,5049327956	20869,5214199696	33022,8324616934	32377,5517787929	32627,6779146634	28461,4512779202
"ENSG00000159592"	5556,85859460877	6072,08468158737	6287,22580427943	6450,89274534266	6109,81488266341	6104,92123648557	6204,38261187136	6538,75708687195
"ENSG00000159882"	327,050532836045	291,780702851195	393,506689477882	465,395067800272	416,496403134739	329,610514738021	359,581531701142	484,912027660882
"ENSG00000162545"	9909,5311294787	9538,98451628907	8565,60220950293	3477,53536772981	9584,4613461854	9353,81190472763	9858,75573557203	4869,72560356325
"ENSG00000162595"	15,0023180200021	22,4446694500919	9,56439870258742	28,0098883398312	43,9555027529742	28,5068553286937	10,0646230247139	34,342211590714
"ENSG00000162738"	202,031216002695	209,216383088357	172,842347982473	467,549674595644	556,289313529443	677,037814056476	644,13587358169	913,502828312993
"ENSG00000162745"	89,0137535853456	87,3738917878579	70,3666475976074	34,4737087259461	167,895608876114	114,027421314775	130,840099321281	118,137207872056
"ENSG00000162777"	298,046051330708	311,018990951274	338,169811270055	428,766752278954	557,730477554131	548,756965077354	548,979437711667	736,297016504909
"ENSG00000163009"	143,022098457353	141,882374738081	120,238155118242	114,194160154696	91,5139155676675	79,2846913829295	115,28568191945	45,3317192997425
"ENSG00000163273"	6,00092720800083	3,20638135001313	0,683171335899101	0	0,720582012343839	0	0,914965729519445	0
"ENSG00000163286"	1,0001545346668	3,20638135001313	0,683171335899101	6,46382038611489	6,48523811109455	4,4541961451084	7,31972583615556	0
"ENSG00000163485"	544,084066858742	438,472649614296	470,021879098582	1202,27059181737	757,331694973374	775,920968477883	684,394365680545	1647,05246789064
"ENSG00000164379"	255,039406340035	331,058874388856	215,882142144116	480,477315367873	584,392012010853	669,911100224303	629,496421909378	1218,46166723853
"ENSG00000164488"	462,071395016064	412,020003476688	310,842957834091	1562,08992664443	1388,56153778658	1387,92751881578	1286,44181570434	2865,51413512918
"ENSG00000164520"	225,034770300031	165,93023486318	226,129712182603	540,806305638279	198,160053394556	171,931971201184	200,377494764759	585,191285505767
"ENSG00000165125"	0	0	2,7326853435964	0	11,5293121975014	8,90839229021679	10,9795887542333	10,9895077090285
"ENSG00000165929"	3236,50007418178	3556,67851250207	3467,09452968794	3988,17717823289	3785,93789285453	3711,23622810432	3742,20983373453	4450,75062215654
"ENSG00000166664"	49,0075721986734	59,318054975243	33,475395459056	51,7105630889191	46,8378308023495	68,5946206346693	29,2789033446223	37,0895885179712
"ENSG00000167281"	604,09333893875	581,15661968988	444,744539670315	277,94427660294	1186,7985743303	1272,11841904296	1248,92822079404	557,717516233196
"ENSG00000167460"	55285,542212777	55643,5419481279	53277,7998014273	52537,9320983418	46598,5975742514	47413,1362862208	46451,8951219727	44930,602268363
"ENSG00000167468"	37749,8327564639	30522,3456661125	29172,7823855634	26159,0811026069	24414,0391602216	24621,9054509302	24174,3095396333	22136,9895913743
"ENSG00000167920"	1281,19795890818	1190,36907619238	1170,95566973106	879,079572511625	1136,35783346623	1060,98952176482	1211,41462588375	995,924136130707
"ENSG00000168003"	72028,1291230993	58147,7257824882	61080,2996287309	51639,4610646718	42375,2663999041	42552,7174526785	42458,9846783499	34891,6869761655
"ENSG00000168405"	0	5,61116736252298	1,3663426717982	36,6283155213177	7,20582012343839	6,23587460315175	0,914965729519445	17,8579500271713
"ENSG00000168679"	9553,47611513732	10074,4502017413	9902,56851385747	10852,7544282869	10000,9577493201	9639,77129724359	9780,06868283335	12082,9637260768
"ENSG00000168702"	14,0021634853353	29,6590274876215	30,0595387795605	10,7730339768581	24,4997884196905	16,0351061223902	7,31972583615556	16,4842615635427
"ENSG00000168874"	1777,27460810291	1363,51366909308	1563,09601653714	2081,35016432899	2287,12730717934	2358,05143922038	2455,76801803019	1850,35836050767
"ENSG00000169418"	173,026734497357	164,327044188173	199,486030082538	28,0098883398312	145,557566493455	189,748755781618	177,503351526772	67,3107347177995
"ENSG00000169764"	21340,2973061856	21449,8896362504	22304,1777744339	21263,8144635226	26655,7698006233	25811,1758216741	26828,6251209692	24988,7668418672
"ENSG00000170004"	26374,0750791636	25166,8872162531	23979,3138900585	21156,084123754	23542,8555072979	24870,4495958272	25086,5303719642	20793,5222739455
"ENSG00000170759"	31163,815145683	30919,9369535141	32836,6302599903	26643,8676315656	27173,8682674985	25385,3546702018	28063,8288558204	21871,867717894
"ENSG00000171877"	311,048060281376	260,518484688567	291,714160428916	700,24720849578	215,454021690808	260,12505487433	263,5101301016	619,533497096481
"ENSG00000172159"	2680,41415290704	3522,20991298943	3708,93718259622	3899,83829962265	4763,76768360512	4081,82534737733	4787,10069684574	3729,56417875154
"ENSG00000172346"	848,13104539745	729,451757127988	742,607242122323	415,839111506724	582,230265973822	587,953891154308	521,530465826084	537,112189278767
"ENSG00000172403"	676,10446543476	885,762847941128	1012,45991980247	1396,18520340082	948,285928244492	1055,64448639069	1015,61195976658	1600,34706012727
